City,Year,Average_Max_Temp,Total_Rainfall,Lat,Long
Adelaide,2008,20.7,235.2,-34.9285,138.6007
Adelaide,2009,23.4,517.2,-34.9285,138.6007
Adelaide,2010,22.4,592.6,-34.9285,138.6007
Adelaide,2011,22.7,528.0,-34.9285,138.6007
Adelaide,2012,22.2,516.4,-34.9285,138.6007
Adelaide,2013,22.9,495.6,-34.9285,138.6007
Adelaide,2014,23.5,534.2,-34.9285,138.6007
Adelaide,2015,23.2,395.2,-34.9285,138.6007
Adelaide,2016,22.9,820.8,-34.9285,138.6007
Adelaide,2017,25.0,206.4,-34.9285,138.6007
Brisbane,2008,25.0,607.2,-27.4698,153.0251
Brisbane,2009,26.9,1072.4,-27.4698,153.0251
Brisbane,2010,25.8,1658.6,-27.4698,153.0251
Brisbane,2011,25.8,1075.4,-27.4698,153.0251
Brisbane,2012,25.8,1126.4,-27.4698,153.0251
Brisbane,2013,26.4,850.4,-27.4698,153.0251
Brisbane,2014,27.0,790.2,-27.4698,153.0251
Brisbane,2015,26.4,1445.4,-27.4698,153.0251
Brisbane,2016,27.3,759.6,-27.4698,153.0251
Brisbane,2017,28.1,555.4,-27.4698,153.0251
Canberra,2007,25.1,196.4,-35.2809,149.13
Canberra,2008,20.4,534.8,-35.2809,149.13
Canberra,2009,21.4,440.2,-35.2809,149.13
Canberra,2010,20.2,959.8,-35.2809,149.13
Canberra,2011,20.4,556.4,-35.2809,149.13
Canberra,2012,19.4,677.2,-35.2809,149.13
Canberra,2013,21.3,503.8,-35.2809,149.13
Canberra,2014,21.5,568.6,-35.2809,149.13
Canberra,2015,21.1,545.6,-35.2809,149.13
Canberra,2016,21.2,788.2,-35.2809,149.13
Canberra,2017,23.4,182.2,-35.2809,149.13
Darwin,2008,33.0,502.6,-12.4634,130.8456
Darwin,2009,32.7,1742.4,-12.4634,130.8456
Darwin,2010,32.6,2257.2,-12.4634,130.8456
Darwin,2011,31.6,2493.0,-12.4634,130.8456
Darwin,2012,32.2,1518.8,-12.4634,130.8456
Darwin,2013,32.7,1361.0,-12.4634,130.8456
Darwin,2014,32.6,1547.4,-12.4634,130.8456
Darwin,2015,32.6,1743.8,-12.4634,130.8456
Darwin,2016,33.2,1355.0,-12.4634,130.8456
Darwin,2017,32.0,1739.0,-12.4634,130.8456
Hobart,2008,16.5,246.0,-42.8821,147.3272
Hobart,2009,17.6,865.0,-42.8821,147.3272
Hobart,2010,18.2,520.6,-42.8821,147.3272
Hobart,2011,17.5,565.4,-42.8821,147.3272
Hobart,2012,17.7,454.6,-42.8821,147.3272
Hobart,2013,17.7,586.4,-42.8821,147.3272
Hobart,2014,18.3,484.2,-42.8821,147.3272
Hobart,2015,17.6,528.4,-42.8821,147.3272
Hobart,2016,18.2,693.6,-42.8821,147.3272
Hobart,2017,19.6,162.4,-42.8821,147.3272
Melbourne,2008,19.4,246.4,-37.8136,144.9631
Melbourne,2009,21.6,464.8,-37.8136,144.9631
Melbourne,2010,21.0,776.6,-37.8136,144.9631
Melbourne,2011,20.8,726.8,-37.8136,144.9631
Melbourne,2012,20.3,570.0,-37.8136,144.9631
Melbourne,2013,20.8,574.6,-37.8136,144.9631
Melbourne,2014,21.7,472.8,-37.8136,144.9631
Melbourne,2015,30.6,5.6,-37.8136,144.9631
Melbourne,2016,18.2,458.4,-37.8136,144.9631
Melbourne,2017,22.3,257.6,-37.8136,144.9631
Perth,2008,22.3,390.8,-31.9505,115.8605
Perth,2009,25.0,608.2,-31.9505,115.8605
Perth,2010,25.3,503.8,-31.9505,115.8605
Perth,2011,25.5,841.4,-31.9505,115.8605
Perth,2012,25.2,588.0,-31.9505,115.8605
Perth,2013,24.8,781.6,-31.9505,115.8605
Perth,2014,25.4,674.4,-31.9505,115.8605
Perth,2015,25.6,617.8,-31.9505,115.8605
Perth,2016,24.2,715.8,-31.9505,115.8605
Perth,2017,26.9,365.0,-31.9505,115.8605
Sydney,2008,21.7,1025.6,-33.8688,151.2093
Sydney,2009,22.9,956.2,-33.8688,151.2093
Sydney,2010,22.6,1153.8,-33.8688,151.2093
Sydney,2011,22.6,1163.0,-33.8688,151.2093
Sydney,2012,22.4,1129.6,-33.8688,151.2093
Sydney,2013,23.5,1179.0,-33.8688,151.2093
Sydney,2014,23.4,897.2,-33.8688,151.2093
Sydney,2015,23.1,1338.2,-33.8688,151.2093
Sydney,2016,23.8,1385.6,-33.8688,151.2093
Sydney,2017,24.7,865.8,-33.8688,151.2093
